title,category,rental_rate,replacement_cost,total_rentals,total_revenue,revenue_per_rental
Blade Polish,Drama,0.99,10.99,22,29.81,1.355
Chill Luck,Drama,0.99,17.99,22,29.79,1.3541
Odds Boogie,Family,0.99,14.99,15,19.87,1.3247
Highball Potter,Foreign,0.99,10.99,21,27.81,1.3243
Grease Youth,Family,0.99,20.99,21,27.8,1.3238
Montezuma Command,Action,0.99,22.99,9,11.91,1.3233
Japanese Run,Horror,0.99,29.99,6,7.94,1.3233
Notting Speakeasy,Drama,0.99,19.99,10,12.91,1.291
Curtain Videotape,Games,0.99,27.99,27,34.77,1.2878
Alamo Videotape,Foreign,0.99,16.99,24,30.78,1.2825
Connection Microcosmos,Comedy,0.99,25.99,7,8.95,1.2786
Christmas Moonshine,Children,0.99,21.99,21,26.81,1.2767
Empire Malkovich,Children,0.99,26.99,21,26.81,1.2767
Story Side,Action,0.99,27.99,28,35.74,1.2764
Feud Frogmen,Family,0.99,29.99,25,31.8,1.272
Unforgiven Zoolander,Sci-Fi,0.99,15.99,18,22.84,1.2689
Ballroom Mockingbird,Foreign,0.99,29.99,8,9.93,1.2413
Crow Grease,Action,0.99,22.99,12,14.89,1.2408
Masked Bubble,Music,0.99,12.99,20,24.81,1.2405
Smoochy Control,Sports,0.99,18.99,12,14.88,1.24
Moon Bunch,Foreign,0.99,20.99,29,35.74,1.2324
Gun Bonnie,Games,0.99,27.99,25,30.79,1.2316
Lawrence Love,Action,0.99,23.99,13,15.87,1.2208
Zhivago Core,Horror,0.99,10.99,9,10.93,1.2144
Celebrity Horn,Action,0.99,24.99,24,28.79,1.1996
Talented Homicide,Sports,0.99,9.99,29,34.76,1.1986
Clockwork Paradise,Children,0.99,29.99,10,11.9,1.19
Freedom Cleopatra,Comedy,0.99,23.99,5,5.95,1.19
Resurrection Silverado,Family,0.99,12.99,21,24.81,1.1814
Deceiver Betrayed,Drama,0.99,22.99,21,24.8,1.181
Wolves Desire,Travel,0.99,13.99,21,24.79,1.1805
Craft Outfield,Drama,0.99,17.99,16,18.86,1.1788
Borrowers Bedazzled,Animation,0.99,22.99,22,25.8,1.1727
Shepherd Midsummer,Children,0.99,14.99,25,28.77,1.1508
Patient Sister,Classics,0.99,29.99,19,21.82,1.1484
Bedazzled Married,Family,0.99,21.99,13,14.88,1.1446
Sassy Packer,Games,0.99,29.99,13,14.88,1.1446
Love Suicides,Horror,0.99,21.99,20,22.85,1.1425
Stallion Sundance,Sci-Fi,0.99,23.99,7,7.94,1.1343
Mosquito Armageddon,Sports,0.99,22.99,15,16.89,1.126
Siege Madre,Family,0.99,23.99,15,16.86,1.124
Streak Ridgemont,Documentary,0.99,28.99,16,17.87,1.1169
Harold French,Drama,0.99,10.99,8,8.93,1.1163
Pride Alamo,Animation,0.99,20.99,16,17.85,1.1156
Music Boondock,Family,0.99,17.99,19,20.83,1.0963
Jedi Beneath,Family,0.99,12.99,19,20.82,1.0958
Bride Intrigue,Action,0.99,24.99,19,20.82,1.0958
Jawbreaker Brooklyn,Music,0.99,15.99,10,10.91,1.091
Dracula Crystal,Classics,0.99,26.99,21,22.81,1.0862
Valentine Vanishing,Travel,0.99,9.99,12,12.9,1.075
Roman Punk,Music,0.99,28.99,24,25.79,1.0746
Hollywood Anonymous,Children,0.99,29.99,13,13.87,1.0669
Greedy Roots,Drama,0.99,14.99,14,14.87,1.0621
Polish Brooklyn,Children,0.99,12.99,18,18.85,1.0472
Gandhi Kwai,Family,0.99,9.99,17,16.87,0.9924
Ghostbusters Elf,Animation,0.99,18.99,9,8.93,0.9922
Towers Hurricane,Classics,0.99,14.99,11,10.91,0.9918
Cruelty Unforgiven,Classics,0.99,29.99,7,6.94,0.9914
Kane Exorcist,Foreign,0.99,18.99,14,13.88,0.9914
Treatment Jekyll,Drama,0.99,19.99,7,6.94,0.9914
Lights Deer,Classics,0.99,21.99,8,7.93,0.9913
Smoking Barbarella,Documentary,0.99,13.99,18,17.84,0.9911
Spirit Flintstones,Horror,0.99,23.99,15,14.86,0.9907
Silence Kane,Music,0.99,23.99,16,15.85,0.9906
Oklahoma Jumanji,New,0.99,15.99,6,5.94,0.99
Young Language,Documentary,0.99,9.99,7,6.93,0.99
Texas Watch,Horror,0.99,22.99,6,5.94,0.99
Rebel Airport,Music,0.99,24.99,8,6.93,0.8663
Duffel Apocalypse,Documentary,0.99,13.99,7,5.94,0.8486
